book,lang,source_order,page_n,facs,line_id,source_div_n,source_xml_id,printed_primary,printed_alternate,heading_label,source_heading_text,generated_n,generated_label,generated_source_label,visible_chapter_title,paired_generated_n,issue_codes,image_url
5,grc,800,726,page_images/page-0760.png,,54,spr-ch-5.54,νδ,,Περὶ κεστρίτου οἴνου.,Κεφ. νδ΄. [Περὶ κεστρίτου οἴνου.],5.54,Περὶ κεστρίτου οἴνου,Κεφ. νδ΄. [Περὶ κεστρίτου οἴνου.],Κεφ. νδ΄. [Περὶ κεστρίτου οἴνου.],5.54,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0760.jp2/full/1200,/0/default.jpg"
5,la,1712,726,page_images/page-0760.png,,,,LI,,De chamaedryite.,"Cap. LI. [De chamaedryite.] Chamaedryites simili,",5.51,De chamaedryite,Cap. LI. [De chamaedryite.],,5.51,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0760.jp2/full/1200,/0/default.jpg"
5,la,1713,726,page_images/page-0760.png,spr-lb-5-0760-09,,,LII,,De stoechadite,Cap. LII. [De stoechadite] Pari modo et stoecha-,5.52,De stoechadite,Cap. LII. [De stoechadite],,5.52,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0760.jp2/full/1200,/0/default.jpg"
5,la,1714,726,page_images/page-0760.png,spr-lb-5-0760-14,,,LIII,,De aceto stoechadico.,Cap. LIII. [De aceto stoechadico.] Ad eadem quo-,5.53,De aceto stoechadico,Cap. LIII. [De aceto stoechadico.],,5.53,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0760.jp2/full/1200,/0/default.jpg"
5,la,1715,726,page_images/page-0760.png,spr-lb-5-0760-17,,,LIV,,De vino e betonica.,Cap. LIV. [De vino e betonica.] Fit vinum et e,5.54,De vino e betonica,Cap. LIV. [De vino e betonica.],,5.54,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0760.jp2/full/1200,/0/default.jpg"
5,grc,801,727,page_images/page-0761.png,,55,spr-ch-5.55,νε,,Περὶ τραγοριγανίτου οἴνου.,Κεφ. νε΄. [Περὶ τραγοριγανίτου οἴνου.],5.55,Περὶ τραγοριγανίτου οἴνου,Κεφ. νε΄. [Περὶ τραγοριγανίτου οἴνου.],Κεφ. νε΄. [Περὶ τραγοριγανίτου οἴνου.],5.55,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0761.jp2/full/1200,/0/default.jpg"
5,grc,802,727,page_images/page-0761.png,,56,spr-ch-5.56,νϛ,,Περὶ βουνίτου οἴνου.,Κεφ. νϛ΄. [Περὶ βουνίτου οἴνου.],5.56,Περὶ βουνίτου οἴνου,Κεφ. νϛ΄. [Περὶ βουνίτου οἴνου.],Κεφ. νϛ΄. [Περὶ βουνίτου οἴνου.],5.56,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0761.jp2/full/1200,/0/default.jpg"
5,la,1716,727,page_images/page-0761.png,spr-lb-5-0761-11,,,LV,,De tragoriganite vino.,Cap. LV. [De tragoriganite vino.] Tragoriganites,5.55,De tragoriganite vino,Cap. LV. [De tragoriganite vino.],,5.55,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0761.jp2/full/1200,/0/default.jpg"
5,la,1717,727,page_images/page-0761.png,spr-lb-5-0761-16,,,LVI,,De bunite vino.,"Cap. LVI. [De bunite vino.] E bunio fit vinum,",5.56,De bunite vino,Cap. LVI. [De bunite vino.],,5.56,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0761.jp2/full/1200,/0/default.jpg"
5,grc,803,728,page_images/page-0762.png,,57,spr-ch-5.57,νζ,,Περὶ δικταμνίτου οἴνου.,Κεφ. νζ΄. [Περὶ δικταμνίτου οἴνου.],5.57,Περὶ δικταμνίτου οἴνου,Κεφ. νζ΄. [Περὶ δικταμνίτου οἴνου.],Κεφ. νζ΄. [Περὶ δικταμνίτου οἴνου.],5.57,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0762.jp2/full/1200,/0/default.jpg"
5,grc,804,728,page_images/page-0762.png,,58,spr-ch-5.58,νη,,Περὶ πρασίτου οἴνου.,Κεφ. νη΄. [Περὶ πρασίτου οἴνου.],5.58,Περὶ πρασίτου οἴνου,Κεφ. νη΄. [Περὶ πρασίτου οἴνου.],Κεφ. νη΄. [Περὶ πρασίτου οἴνου.],5.58,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0762.jp2/full/1200,/0/default.jpg"
5,grc,805,728,page_images/page-0762.png,,59,spr-ch-5.59,νθ,,Περὶ θυμίτου οἴνου.,Κεφ. νθ΄. [Περὶ θυμίτου οἴνου.],5.59,Περὶ θυμίτου οἴνου,Κεφ. νθ΄. [Περὶ θυμίτου οἴνου.],Κεφ. νθ΄. [Περὶ θυμίτου οἴνου.],5.59,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0762.jp2/full/1200,/0/default.jpg"
5,la,1718,728,page_images/page-0762.png,,,,LVII,,De dictamnite vino.,Cap. LVII. [De dictamnite vino.] Dictamnitis con-,5.57,De dictamnite vino,Cap. LVII. [De dictamnite vino.],,5.57,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0762.jp2/full/1200,/0/default.jpg"
5,la,1719,728,page_images/page-0762.png,spr-lb-5-0762-07,,,LVIII,,De praside vino.,Cap. LVIII. [De praside vino.] Ad vinum e mar-,5.58,De praside vino,Cap. LVIII. [De praside vino.],,5.58,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0762.jp2/full/1200,/0/default.jpg"
5,la,1720,728,page_images/page-0762.png,spr-lb-5-0762-12,,,LIX,,De thymite vino.,Cap. LIX. [De thymite vino.] Thymites sic fit:,5.59,De thymite vino,Cap. LIX. [De thymite vino.],,5.59,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0762.jp2/full/1200,/0/default.jpg"
5,grc,806,729,page_images/page-0763.png,spr-lb-5-0763-01,60,spr-ch-5.60,ξ,,Περὶ θυμβρίτου οἴνου.,Κεφ. ξ΄. [Περὶ θυμβρίτου οἴνου.],5.60,Περὶ θυμβρίτου οἴνου,Κεφ. ξ΄. [Περὶ θυμβρίτου οἴνου.],Κεφ. ξ΄. [Περὶ θυμβρίτου οἴνου.],5.60,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0763.jp2/full/1200,/0/default.jpg"
5,grc,807,729,page_images/page-0763.png,,61,spr-ch-5.61,ξα,,Περὶ ὀριγανίτου οἴνου.,Κεφ. ξα΄. [Περὶ ὀριγανίτου οἴνου.],5.61,Περὶ ὀριγανίτου οἴνου,Κεφ. ξα΄. [Περὶ ὀριγανίτου οἴνου.],Κεφ. ξα΄. [Περὶ ὀριγανίτου οἴνου.],5.61,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0763.jp2/full/1200,/0/default.jpg"
5,grc,808,729,page_images/page-0763.png,,62,spr-ch-5.62,ξβ,,"Περὶ καλαμινθίτου, γληχωνίτου καὶ ἀβρο- τονίτου οἴνου.","Κεφ. ξβ΄. [Περὶ καλαμινθίτου, γληχωνίτου καὶ ἀβρο- τονίτου οἴνου.]",5.62,"Περὶ καλαμινθίτου, γληχωνίτου καὶ ἀβρο- τονίτου οἴνου","Κεφ. ξβ΄. [Περὶ καλαμινθίτου, γληχωνίτου καὶ ἀβρο- τονίτου οἴνου.]","Κεφ. ξβ΄. [Περὶ καλαμινθίτου, γληχωνίτου καὶ ἀβρο- τονίτου οἴνου.]",5.62,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0763.jp2/full/1200,/0/default.jpg"
5,grc,809,729,page_images/page-0763.png,,63,spr-ch-5.63,ξγ,,Περὶ κονυζίτου οἴνου.,Κεφ. ξγ΄. [Περὶ κονυζίτου οἴνου.],5.63,Περὶ κονυζίτου οἴνου,Κεφ. ξγ΄. [Περὶ κονυζίτου οἴνου.],Κεφ. ξγ΄. [Περὶ κονυζίτου οἴνου.],5.63,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0763.jp2/full/1200,/0/default.jpg"
5,grc,810,729,page_images/page-0763.png,,64,spr-ch-5.64,ξδ,,Περὶ ἀρωματίτου οἴνου.,Κεφ. ξδ΄. [Περὶ ἀρωματίτου οἴνου.],5.64,Περὶ ἀρωματίτου οἴνου,Κεφ. ξδ΄. [Περὶ ἀρωματίτου οἴνου.],Κεφ. ξδ΄. [Περὶ ἀρωματίτου οἴνου.],5.64,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0763.jp2/full/1200,/0/default.jpg"
5,la,1721,729,page_images/page-0763.png,,,,LX,,De vino thymbrite.,Cap. LX. [De vino thymbrite.] Simili modo e,5.60,De vino thymbrite,Cap. LX. [De vino thymbrite.],,5.60,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0763.jp2/full/1200,/0/default.jpg"
5,la,1722,729,page_images/page-0763.png,,,,LXI,,De origanis vino.,Cap. LXI. [De origanis vino.] Origanites ex ori-,5.61,De origanis vino,Cap. LXI. [De origanis vino.],,5.61,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0763.jp2/full/1200,/0/default.jpg"
5,la,1723,729,page_images/page-0763.png,spr-lb-5-0763-06,,,LXII,,"De vinis e calamintha, pulegio et abrotano.","Cap. LXII. [De vinis e calamintha, pulegio et abrotano.] E calamintha, pulegio et abrotano vina fiunt",5.62,"De vinis e calamintha, pulegio et abrotano","Cap. LXII. [De vinis e calamintha, pulegio et abrotano.]",,5.62,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0763.jp2/full/1200,/0/default.jpg"
5,la,1724,729,page_images/page-0763.png,spr-lb-5-0763-11,,,LXIII,,De vino conyzite.,Cap. LXIII. [De vino conyzite.] Similiter et e co-,5.63,De vino conyzite,Cap. LXIII. [De vino conyzite.],,5.63,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0763.jp2/full/1200,/0/default.jpg"
5,la,1725,729,page_images/page-0763.png,spr-lb-5-0763-14,,,LXIV,,De vino aromatico.,Cap. LXIV. [De vino aromatico.] Vinum aroma-,5.64,De vino aromatico,Cap. LXIV. [De vino aromatico.],,5.64,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0763.jp2/full/1200,/0/default.jpg"
