filename,prompt_tokens,candidates_tokens,status,timestamp
b23982500_0002_0611.jp2,829,5603,ok,2026-05-16T14:11:38.821589+00:00
b23982500_0002_0612.jp2,829,8669,ok,2026-05-16T14:12:10.141814+00:00
b23982500_0002_0613.jp2,829,6862,ok,2026-05-16T14:12:21.929032+00:00
b23982500_0002_0595.jp2,829,7960,ok,2026-05-16T14:37:37.278113+00:00
b23982500_0002_0614.jp2,829,11641,ok,2026-05-16T14:13:00.528169+00:00
b23982500_0002_0615.jp2,829,6729,ok,2026-05-16T14:13:04.102048+00:00
b23982500_0002_0616.jp2,829,5745,ok,2026-05-16T14:13:08.495071+00:00
b23982500_0002_0618.jp2,829,3384,ok,2026-05-16T14:13:32.001515+00:00
b23982500_0002_0617.jp2,829,6175,ok,2026-05-16T14:13:42.180352+00:00
b23982500_0002_0620.jp2,829,8100,ok,2026-05-16T14:14:08.714599+00:00
b23982500_0002_0619.jp2,829,9989,ok,2026-05-16T14:14:16.909564+00:00
b23982500_0002_0621.jp2,829,7079,ok,2026-05-16T14:14:24.234658+00:00
b23982500_0002_0622.jp2,829,6103,ok,2026-05-16T14:14:45.465386+00:00
b23982500_0002_0623.jp2,829,6205,ok,2026-05-16T14:14:57.063828+00:00
b23982500_0002_0624.jp2,829,5336,ok,2026-05-16T14:15:05.167890+00:00
b23982500_0002_0625.jp2,829,6313,ok,2026-05-16T14:15:14.740048+00:00
b23982500_0002_0627.jp2,829,5421,ok,2026-05-16T14:15:41.909391+00:00
b23982500_0002_0626.jp2,829,11256,ok,2026-05-16T14:16:05.571757+00:00
b23982500_0002_0629.jp2,829,6491,ok,2026-05-16T14:16:09.148979+00:00
b23982500_0002_0628.jp2,829,9857,ok,2026-05-16T14:16:19.770736+00:00
b23982500_0002_0630.jp2,829,6436,ok,2026-05-16T14:16:31.452450+00:00
b23982500_0002_0631.jp2,829,5401,ok,2026-05-16T14:16:49.094543+00:00
b23982500_0002_0610.jp2,829,5567,ok,2026-05-16T14:47:26.911205+00:00
b23982500_0002_0633.jp2,829,5466,ok,2026-05-16T14:17:07.114928+00:00
b23982500_0002_0632.jp2,829,8142,ok,2026-05-16T14:17:13.514133+00:00
b23982500_0002_0634.jp2,829,6644,ok,2026-05-16T14:17:26.967767+00:00
b23982500_0002_0635.jp2,829,6471,ok,2026-05-16T14:17:38.727758+00:00
b23982500_0002_0637.jp2,829,5360,ok,2026-05-16T14:17:49.168760+00:00
b23982500_0002_0636.jp2,829,7464,ok,2026-05-16T14:17:51.904421+00:00
b23982500_0002_0639.jp2,829,3769,ok,2026-05-16T14:18:01.229474+00:00
b23982500_0002_0638.jp2,829,6176,ok,2026-05-16T14:18:02.742545+00:00
